,username,fullname,followers,profile_link,biography
37,"
              michalprazsky
            ","
              Michal Pražský
            ","
                  518
                ",https://www.instagram.com/michalprazsky,"
              Product Design | Interior Design | Industrial Design
            "
38,"
              maximjezek
            ","
              Maxim Jezek
            ","
                  534
                ",https://www.instagram.com/maximjezek,"
              Set Design, Furniture Design
            "
39,"
              _genemitchell
            ","
              Imogene
            ","
                  313
                ",https://www.instagram.com/_genemitchell,"
              Designer @ Colab Design Studio
            "
40,"
              sahabzada_mansoor
            ","
              Mansoor Mukhtar
            ","
                  340
                ",https://www.instagram.com/sahabzada_mansoor,"
              Product Designer
        Footwear Designer
            "
41,"
              silas_amos
            ","
              Silas Amos
            ","
                  578
                ",https://www.instagram.com/silas_amos,"
              designer / design noodler...
            "
42,"
              marusyachukhray
            ","
              marusyachukhray
            ","
                  675
                ",https://www.instagram.com/marusyachukhray,"
              Production designer. Costume designer .
            "
43,"
              nusupply
            ","
              nusupply
            ","
                  619
                ",https://www.instagram.com/nusupply,"
              Design assets for designers in the church.
            "
44,"
              emiliejaguin
            ","
              Emilie Jaguin
            ","
                  141
                ",https://www.instagram.com/emiliejaguin,"
              designer - recherche en design
            "
45,"
              wearejolt
            ","
              JOLT
            ","
                  312
                ",https://www.instagram.com/wearejolt,"
              Brand Design. Service Design.
            "
46,"
              htmlcalvin
            ","
              lowercase
            ","
                  522
                ",https://www.instagram.com/htmlcalvin,"
              Logo Designer • Web Designer
            "
47,"
              leekhalil
            ","
              Xinyuan Li
            ","
                  133
                ",https://www.instagram.com/leekhalil,"
              Lighting Designer, Set Designer
            "
48,"
              hola_adriansito
            ","
              Adrian Aguilar
            ","
                  490
                ",https://www.instagram.com/hola_adriansito,"
              A designers journal. 
        Designer at @criticalmassagency
            "
49,"
              leckiestudio
            ","
              Leckie Studio
            ","
                  11.6k
                ",https://www.instagram.com/leckiestudio,"
              Architecture + Design / Design Research
            "
50,"
              closcaturla
            ","
              Closca Turla
            ","
                  658
                ",https://www.instagram.com/closcaturla,"
              Light designer / Set designer
            "
51,"
              joshuadesigns
            ","
              Josh Bowden
            ","
                  494
                ",https://www.instagram.com/joshuadesigns,"
              Building Design,Interior Design
            "
52,"
              elissarhajjar
            ","
              Elissar Hajjar photography
            ","
                  608
                ",https://www.instagram.com/elissarhajjar,"
              Jewelry designer
        Wood designer
            "
53,"
              snehamirchandani_
            ","
              Sneha Mirchandani
            ","
                  734
                ",https://www.instagram.com/snehamirchandani_,"
              Founder & Designer | Skafi Designs.
            "
54,"
              midnightskystudios
            ","
              Midnight Sky Studios
            ","
                  81
                ",https://www.instagram.com/midnightskystudios,"
              Graphic Design • Web Design
            "
55,"
              santivithee
            ","
              S A N T I
            ","
                  788
                ",https://www.instagram.com/santivithee,"
              Designer / Lecturer / Design Curator
            "
56,"
              martinabosica
            ","
              Martina Bosica
            ","
                  513
                ",https://www.instagram.com/martinabosica,"
              Graphic Designer • Gibo Design
            "
57,"
              tonoariki
            ","
              Rajeshta Julatum
            ","
                  88.1k
                ",https://www.instagram.com/tonoariki,"
              Designer @STACKLAB_DESIGN
        Design @julatum.design
            "
58,"
              clemensloeffelholz
            ","
              Clemens Loeffelholz v. Colberg
            ","
                  893
                ",https://www.instagram.com/clemensloeffelholz,"
              Stage Design, Lighting Design
            "
59,"
              giulibif
            ","
              Giulia Bifronte
            ","
                  264
                ",https://www.instagram.com/giulibif,"
              Interior Designer and Design Blogger
            "
60,"
              likklekev
            ","
              Kevin Nicholas Lawrence
            ","
                  207
                ",https://www.instagram.com/likklekev,"
              Graphic designer and web designer
            "
61,"
              aliciarfernandes_
            ","
              Alicia Fernandes
            ","
                  729
                ",https://www.instagram.com/aliciarfernandes_,"
              Design / Food / Explore. Designer.
            "
62,"
              aaronmapp
            ","
              Aaron Mapp
            ","
                  1.2k
                ",https://www.instagram.com/aaronmapp,"
              Interior Designer and Design Dealer
            "
63,"
              ryu.djj
            ","
              다정
            ","
                  269
                ",https://www.instagram.com/ryu.djj,"
              Graphic designer
        #design #photography
            "
64,"
              rosie__turnbull
            ","
              Rosie Turnbull
            ","
                  923
                ",https://www.instagram.com/rosie__turnbull,"
              Set Design / Production Design
            "
65,"
              skaione
            ","
              Luca Busetto - Skaione
            ","
                  976
                ",https://www.instagram.com/skaione,"
              Graphic Designer 
        Motion Designer
            "
66,"
              microcritique
            ","
              Michael Rock
            ","
                  2.2k
                ",https://www.instagram.com/microcritique,"
              Designing politics and the politics of design.
            "
67,"
              yurisouza.designer
            ","
              Yuri Souza
            ","
                  1.3k
                ",https://www.instagram.com/yurisouza.designer,"
              Designer Gráfico / Web Designer
            "
68,"
              sedilia_london
            ","
              Sedilia
            ","
                  378
                ",https://www.instagram.com/sedilia_london,"
              Makers Designers, Designers Makers
            "
69,"
              lara_hanlon
            ","
              Lara Hanlon
            ","
                  1.1k
                ",https://www.instagram.com/lara_hanlon,"
              Designer in Residence at IBM Design.
            "
70,"
              rajattangriofficial
            ","
              Rajat Tangri
            ","
                  14.9k
                ",https://www.instagram.com/rajattangriofficial,"
              Fashion Designer , Celebrity Designer
            "
71,"
              abeulau
            ","
              Laura AUtheSIGN
            ","
                  132
                ",https://www.instagram.com/abeulau,"
              designer - graphic designer - mom
            "
72,"
              gardercha
            ","
              Gareth Chang
            ","
                  659
                ",https://www.instagram.com/gardercha,"
              Design Director & Motion Designer
            "
73,"
              aleksiinadesign
            ","
              Aleksiina Design
            ","
                  352
                ",https://www.instagram.com/aleksiinadesign,"
              Aleksiina Design - finnish design
            "
74,"
              rachele.ercoli
            ","
              ʟᴇ ʀᴏᴜɢᴇ
            ","
                  429
                ",https://www.instagram.com/rachele.ercoli,"
              • Illustrator 
        • Graphic designer 
        • Designer
            "
75,"
              undesign_studio
            ","
              Undesign Studioassociato
            ","
                  9.4k
                ",https://www.instagram.com/undesign_studio,"
              Design less, design better.
            "
76,"
              pudu_joaweyna
            ","
              joa weyna
            ","
                  332
                ",https://www.instagram.com/pudu_joaweyna,"
              fashion designer
        pudu designer
            "
77,"
              kaiatungal
            ","
              Kaia Tungal
            ","
                  698
                ",https://www.instagram.com/kaiatungal,"
              production design | spatial design
            "
78,"
              eduardoritardo
            ","
              Eduardo C. Beer-Svendsen
            ","
                  193
                ",https://www.instagram.com/eduardoritardo,"
              ✖️ Graphic designer
        ✖️ ECBS Design
            "
79,"
              basagliarotanodari
            ","
              Basaglia Rota Nodari
            ","
                  1.3k
                ",https://www.instagram.com/basagliarotanodari,"
              | DESIGN | ARCHITECTURE | DESIGN MANAGEMENT |
            "
80,"
              belz_clothier
            ","
              belz clothier
            ","
                  862
                ",https://www.instagram.com/belz_clothier,"
              Passionate designer
        Bespoke designs
            "
81,"
              triciajeanwhitworth
            ","
              designWORTH
            ","
                  156
                ",https://www.instagram.com/triciajeanwhitworth,"
              Building  Designer|Interior Designer
            "
82,"
              daphnesketo
            ","
              Daphne
            ","
                  581
                ",https://www.instagram.com/daphnesketo,"
              * Costume design *                                             * Set design *
            "
83,"
              anroxzim
            ","
              Anna Zimlich
            ","
                  206
                ",https://www.instagram.com/anroxzim,"
              Interior design & design
            "
84,"
              ortaljacobian
            ","
              Ortal Jacobian
            ","
                  2.6k
                ",https://www.instagram.com/ortaljacobian,"
              Costumes Designer & Cake Designer
            "
85,"
              studiomixtura
            ","
              Daria Biryukova
            ","
                  619
                ",https://www.instagram.com/studiomixtura,"
              Design Alchemist | material designer
            "
86,"
              laurafremont1
            ","
              Laura Fremont
            ","
                  2.3k
                ",https://www.instagram.com/laurafremont1,"
              Designer, Sarah Richardson Design
            "
87,"
              laureiffeneckerdesign
            ","
              Laure Iffenecker
            ","
                  1.0k
                ",https://www.instagram.com/laureiffeneckerdesign,"
              Set design | Interior Design
            "
88,"
              cheryl_lumley
            ","
              Cheryl Lumley
            ","
                  1.6k
                ",https://www.instagram.com/cheryl_lumley,"
              Designer. Gateshead, UK #design
            "
89,"
              exsud_design
            ","
              Exsud
            ","
                  1.4k
                ",https://www.instagram.com/exsud_design,"
              Furniture designer & Interior Designer
            "
90,"
              mhdesigninc
            ","
              Melissa Hall Haynes
            ","
                  2.0k
                ",https://www.instagram.com/mhdesigninc,"
              Interior Designer. Architectural Designer.
            "
91,"
              sensualisme
            ","
              Yuliya Chvankina
            ","
                  660
                ",https://www.instagram.com/sensualisme,"
              set designer
        costume designer
            "
92,"
              naralee_creative
            ","
              Nara Lee
            ","
                  644
                ",https://www.instagram.com/naralee_creative,"
              Fashion designer & Set design
            "
93,"
              allontwena
            ","
              allontwena
            ","
                  500
                ",https://www.instagram.com/allontwena,"
              Jewelry Designer @Twain Designs
            "
94,"
              kinga_hop
            ","
              Kinga Chmielarz-Hulak
            ","
                  743
                ",https://www.instagram.com/kinga_hop,"
              designer and design lover
            "
95,"
              elenarocavives
            ","
              Elena Roca Vives
            ","
                  830
                ",https://www.instagram.com/elenarocavives,"
              Designer | Interior design
            "
96,"
              ferdinand_legrange
            ","
              ferdinand le grange
            ","
                  290
                ",https://www.instagram.com/ferdinand_legrange,"
              designed to design | created to create
            "
97,"
              juostudio
            ","
              JUO
            ","
                  368
                ",https://www.instagram.com/juostudio,"
              building design | interior design
            "
98,"
              gillesvidal_official
            ","
              G i l l e s   V i d a l
            ","
                  41.2k
                ",https://www.instagram.com/gillesvidal_official,"
              Designer
        Director @ Peugeot Design
            "
99,"
              lingo_sees
            ","
              링고박 LINGO BAK
            ","
                  473
                ",https://www.instagram.com/lingo_sees,"
              DESIGNED TO DESIGN; @lingoistics #L_i
            "
100,"
              katestuart3
            ","
              Kate Stuart
            ","
                  1.0k
                ",https://www.instagram.com/katestuart3,"
              Designer, Sarah Richardson Design
            "
101,"
              the_others_creative_lab
            ","
              The Others
            ","
                  348
                ",https://www.instagram.com/the_others_creative_lab,"
              Light Design ; Stage Design
            "
102,"
              stella.panayides
            ","
              Stella Panagide
            ","
                  1.0k
                ",https://www.instagram.com/stella.panayides,"
              Fashion Design / Swimwear Design
            "
103,"
              sanders_sjc
            ","
              Sarah Sanders
            ","
                  157
                ",https://www.instagram.com/sanders_sjc,"
              Designer & Design Strategist
            "
104,"
              marquet_tom
            ","
              Thomas Marquet
            ","
                  60
                ",https://www.instagram.com/marquet_tom,"
              Graphic Designer and Motion Designer
            "
